qid,subject,body,category,answer,topic,keywords
653,Tips for Improve concentration It happens mostly in the evening.,I am struggling because get distracted while studying. What method works best? It happens mostly in the evening.,Education,Suggested steps: Sleep well and take breaks.,Improve concentration,"pomodoro, spaced repetition, targets, distractions, focus, timetable"
538,Cold and throat cough — what should I do? I need a quick solution because it's urgent.,Symptoms: sore throat and cold cough for several days. When should I see a doctor? Can you explain in simple steps?,Health,"Suggested steps: Drink warm fluids and rest; use steam inhalation. If it continues, consider expert help.",Cold and cough,"cough, sore throat, steam, hydration, fever, salt water, humidifier"
641,Help regarding Improve concentration,Any simple routine for get distracted while studying that works daily? I tried basic steps but it didn't work.,Education,Suggested steps: Use Pomodoro (25/5) and keep phone away.,Improve concentration,"pomodoro, spaced repetition, targets, distractions, focus, timetable"
3,Storage full on my device I’m not sure what to do next.,This started after a recent change. Details: storage is full even after deleting files. Any suggestions?,Technology,Suggested steps: Move photos/videos to cloud or external drive.,Storage full,"storage, cache, temporary, duplicate, cloud, backup, offline, analyzer"
739,Programming basics: need guidance I need a quick solution because it's urgent.,My situation: confused about loops and functions in programming. Please share practical steps and resources. I tried basic steps but it didn't work.,Education,Suggested steps: Practice small problems daily and read examples.,Programming basics,"loops, functions, debugging, practice, mini programs, coding"
777,Help regarding Exam panic Can you explain in simple steps?,Please recommend a plan for nervous during exams and forget answers. Can you explain in simple steps?,Education,Suggested steps: Revise with active recall and sleep well.,Exam anxiety,"mock tests, breathing, active recall, past papers, time management, mentor"
520,Is Morning headache serious? This started after an update.,It started recently: wake up with headache and dry mouth. Any simple remedies? It happens mostly in the evening.,Health,"Suggested steps: Track triggers like sleep, diet, caffeine. If it continues, consider expert help.",Morning headache,"hydration, sleep, stress, caffeine, snoring, apnea, routine"
590,Cold and cold cough — what should I do? I’m not sure what to do next.,Symptoms: sore throat and throat cough for several days. When should I see a doctor?,Health,Suggested steps: Use humidifier and avoid smoke/dust exposure.,Cold and cough,"cough, sore throat, steam, hydration, fever, salt water, humidifier"
799,Programming basics: need guidance,Any simple routine for confused about loops and functions in programming that works daily? It happens mostly in the evening.,Education,Suggested steps: Use debugging/print statements to understand flow.,Programming basics,"loops, functions, debugging, practice, mini programs, coding"
745,Exam anxiety: need guidance I tried basic steps but it didn't work.,Please recommend a plan for nervous during exams and forget answers. I tried basic steps but it didn't work.,Education,Suggested steps: Break syllabus into small parts; repeat often.,Exam anxiety,"mock tests, breathing, active recall, past papers, time management, mentor"
514,What can cause Cold and throat cough? Any long-term fix would be helpful.,Symptoms: sore throat and throat cough for several days. When should I see a doctor? Any long-term fix would be helpful.,Health,"Suggested steps: Gargle with warm salt water and avoid cold drinks. If it continues, consider expert help.",Cold and cough,"cough, sore throat, steam, hydration, fever, salt water, humidifier"
671,Help regarding Improve concentration I’m not sure what to do next.,My situation: get distracted while studying. Please share practical steps and resources.,Education,Suggested steps: Plan timetable and track progress daily.,Improve concentration,"pomodoro, spaced repetition, targets, distractions, focus, timetable"
265,Need advice on Credit score I’m not sure what to do next.,It happens mostly in the evening. Issue: credit score dropped suddenly. This started after an update.,Finance,"Suggested steps: Dispute wrong entries with the credit bureau. If it continues, consider expert help.",Credit score,"credit score, report, utilization, bureau, dispute, inquiry, dues"
616,Help regarding Programming basics,I am struggling because confused about loops and functions in programming. What method works best? It happens mostly in the evening.,Education,Suggested steps: Solve beginner coding questions regularly.,Programming basics,"loops, functions, debugging, practice, mini programs, coding"
330,How to manage expense tracking planning? Can you explain in simple steps?,Any long-term fix would be helpful. Problem: want to track spending and save more.,Finance,Suggested steps: Make separate accounts for bills and savings.,Budget planning,"budget, expenses, savings, tracking, 50/30/20, goal, limits"
343,Salary delay issue Any long-term fix would be helpful.,I need a step-by-step strategy for salary is delayed and employer not responding. This started after an update.,Finance,Suggested steps: Follow up via email with HR and keep written records.,Salary delay,"salary, delay, hr, payroll, escalation, policy, records"
395,Budget planning issue I’m not sure what to do next.,It happens mostly in the evening. Issue: want to track spending and save more.,Finance,"Suggested steps: Automate savings first, then budget the rest.",Budget planning,"budget, expenses, savings, tracking, 50/30/20, goal, limits"
80,What should I do about Phone overheating? I’m not sure what to do next.,It happens mostly in the evening. Problem: phone gets hot while charging.,Technology,Suggested steps: Remove thick phone case and charge in a cool environment.,Phone overheating,"overheating, charger, battery, fast charging, brightness, apps, temperature"
149,What should I do about network cutting off? Can you explain in simple steps?,I tried basic steps but it didn't work. Issue: laptop keeps dropping WiFi every few minutes.,Technology,"Suggested steps: Forget the Wi-Fi network, reconnect, and reset network settings.",WiFi disconnecting,"wifi, wireless, network, router, driver, dns, channel, 5ghz, firmware"
351,Beginner question: expense tracking planning Any long-term fix would be helpful.,This started suddenly: want to track spending and save more. What should I do first?,Finance,"Suggested steps: Use 50/30/20 rule and track weekly expenses. If it continues, consider expert help.",Budget planning,"budget, expenses, savings, tracking, 50/30/20, goal, limits"
383,How to manage Credit score?,Any long-term fix would be helpful. Problem: credit score dropped suddenly. It happens mostly in the evening.,Finance,"Suggested steps: Keep utilization below 30% and pay dues on time. If it continues, consider expert help.",Credit score,"credit score, report, utilization, bureau, dispute, inquiry, dues"
441,Stomach pain — what should I do? This started after an update.,It started recently: pain and bloating after meals. Any simple remedies? I’m not sure what to do next.,Health,"Suggested steps: If severe symptoms, seek medical care.",Stomach pain,"bloating, trigger foods, food diary, probiotics, hydration, gas"
310,UPI failed issue,I need a step-by-step strategy for UPI payment failed but money debited. Any long-term fix would be helpful.,Finance,"Suggested steps: Check status in app; if failed with debit, raise dispute.",UPI failed,"upi, reversal, utr, reference, bank, npci, pending, limit, dispute"
708,Exam anxiety: need guidance Any long-term fix would be helpful.,Please recommend a plan for nervous during exams and forget answers.,Education,Suggested steps: Break syllabus into small parts; repeat often.,Exam anxiety,"mock tests, breathing, active recall, past papers, time management, mentor"
134,App crashing on my device This started after an update.,This started after a recent change. Details: app closes suddenly when I open it. Any suggestions?,Technology,Suggested steps: Uninstall and reinstall the app; ensure enough storage.,App crashing,"crash, cache, reinstall, update, storage, permissions, bug"
382,How to manage UPI failed?,This started suddenly: UPI transfer failed but money deducted. What should I do first? Any long-term fix would be helpful.,Finance,"Suggested steps: Check daily limits, network issues, and app updates. If it continues, consider expert help.",UPI failed,"upi, reversal, utr, reference, bank, npci, pending, limit, dispute"
214,Need advice on Investing,Here is the problem: want to start wealth building with small amount. What is the safest approach to handle it?,Finance,"Suggested steps: Learn basics: risk, return, compounding. If it continues, consider expert help.",Investing,"sip, index fund, etf, diversify, compounding, risk, long term"
660,How to handle Exam stress? Can you explain in simple steps?,My situation: nervous during exams and forget answers. Please share practical steps and resources. It happens mostly in the evening.,Education,Suggested steps: Practice mock tests and breathing exercises.,Exam anxiety,"mock tests, breathing, active recall, past papers, time management, mentor"
56,How to fix Storage full? I tried basic steps but it didn't work.,I tried basic steps but it didn't work. Issue: storage is full even after deleting files.,Technology,Suggested steps: Move photos/videos to cloud or external drive.,Storage full,"storage, cache, temporary, duplicate, cloud, backup, offline, analyzer"
737,Tips for Programming basics It happens mostly in the evening.,Any simple routine for confused about loops and functions in programming that works daily? I need a quick solution because it's urgent.,Education,Suggested steps: Use debugging/print statements to understand flow.,Programming basics,"loops, functions, debugging, practice, mini programs, coding"
621,Tips for Improve concentration I’m not sure what to do next.,I am struggling because get distracted while studying. What method works best?,Education,Suggested steps: Use Pomodoro (25/5) and keep phone away.,Improve concentration,"pomodoro, spaced repetition, targets, distractions, focus, timetable"
583,Cold and cold cough — what should I do? Can you explain in simple steps?,It started recently: sore throat and cold cough for several days. Any simple remedies? I tried basic steps but it didn't work.,Health,Suggested steps: Maintain hydration and light nutrition.,Cold and cough,"cough, sore throat, steam, hydration, fever, salt water, humidifier"
674,How to handle Exam panic? Can you explain in simple steps?,Please recommend a plan for nervous during exams and forget answers. This started after an update.,Education,Suggested steps: Break syllabus into small parts; repeat often.,Exam anxiety,"mock tests, breathing, active recall, past papers, time management, mentor"
528,What can cause Morning headache?,I have wake up with headache and dry mouth. What are common reasons and safe home-care tips? I need a quick solution because it's urgent.,Health,"Suggested steps: Track triggers like sleep, diet, caffeine. If it continues, consider expert help.",Morning headache,"hydration, sleep, stress, caffeine, snoring, apnea, routine"
197,Blue screen on my device This started after an update.,Please explain possible causes for PC shows blue screen after update and how to troubleshoot.,Technology,Suggested steps: Update drivers (GPU/chipset) and remove recent software.,Blue screen,"bsod, safe mode, update, driver, chkdsk, restore, stop code"
714,How to handle Improve concentration? I’m not sure what to do next.,Please recommend a plan for get distracted while studying.,Education,"Suggested steps: Use spaced repetition and small daily targets. If it continues, consider expert help.",Improve concentration,"pomodoro, spaced repetition, targets, distractions, focus, timetable"
690,How to handle Improve concentration?,Please recommend a plan for get distracted while studying. Can you explain in simple steps?,Education,Suggested steps: Sleep well and take breaks.,Improve concentration,"pomodoro, spaced repetition, targets, distractions, focus, timetable"
61,How to fix Phone overheating? I tried basic steps but it didn't work.,I am facing phone gets hot while charging. What can I do to solve it permanently?,Technology,"Suggested steps: Use original charger and avoid using phone while charging. If it continues, consider expert help.",Phone overheating,"overheating, charger, battery, fast charging, brightness, apps, temperature"
577,Is Cold and cough serious? I need a quick solution because it's urgent.,Symptoms: sore throat and cough for several days. When should I see a doctor?,Health,"Suggested steps: If fever persists or breathing issues, consult a doctor. If it continues, consider expert help.",Cold and cough,"cough, sore throat, steam, hydration, fever, salt water, humidifier"
632,Tips for Programming basics I’m not sure what to do next.,I am struggling because confused about loops and functions in programming. What method works best? Can you explain in simple steps?,Education,Suggested steps: Use debugging/print statements to understand flow.,Programming basics,"loops, functions, debugging, practice, mini programs, coding"
432,What can cause Morning headache? Can you explain in simple steps?,I have wake up with headache and dry mouth. What are common reasons and safe home-care tips? Can you explain in simple steps?,Health,"Suggested steps: If snoring/apnea symptoms, consult doctor. If it continues, consider expert help.",Morning headache,"hydration, sleep, stress, caffeine, snoring, apnea, routine"
604,Tips for Exam anxiety,Any simple routine for nervous during exams and forget answers that works daily? I tried basic steps but it didn't work.,Education,Suggested steps: Use past papers and time management.,Exam anxiety,"mock tests, breathing, active recall, past papers, time management, mentor"
443,Cold and throat cough — what should I do?,Symptoms: sore throat and throat cough for several days. When should I see a doctor? Any long-term fix would be helpful.,Health,Suggested steps: Use humidifier and avoid smoke/dust exposure.,Cold and cough,"cough, sore throat, steam, hydration, fever, salt water, humidifier"
437,Stomach pain — what should I do? I need a quick solution because it's urgent.,It started recently: pain and bloating after meals. Any simple remedies? I’m not sure what to do next.,Health,"Suggested steps: If severe symptoms, seek medical care. If it continues, consider expert help.",Stomach pain,"bloating, trigger foods, food diary, probiotics, hydration, gas"
248,What should I do if Loan EMI happens? It happens mostly in the evening.,It happens mostly in the evening. Issue: confused between shorter vs longer EMI. This started after an update.,Finance,"Suggested steps: Pick affordable EMI and prepay when possible. If it continues, consider expert help.",Loan EMI,"emi, tenure, interest, prepay, calculator, payout, loan"
587,Is Cold and cough serious? This started after an update.,I have sore throat and cough for several days. What are common reasons and safe home-care tips?,Health,Suggested steps: Use humidifier and avoid smoke/dust exposure.,Cold and cough,"cough, sore throat, steam, hydration, fever, salt water, humidifier"
570,Cold and cough — what should I do? It happens mostly in the evening.,It started recently: sore throat and cough for several days. Any simple remedies?,Health,Suggested steps: Use humidifier and avoid smoke/dust exposure.,Cold and cough,"cough, sore throat, steam, hydration, fever, salt water, humidifier"
91,What should I do about Storage full? I’m not sure what to do next.,Please explain possible causes for storage is full even after deleting files and how to troubleshoot.,Technology,Suggested steps: Remove unused apps and clear WhatsApp/Telegram media.,Storage full,"storage, cache, temporary, duplicate, cloud, backup, offline, analyzer"
651,Help regarding Improve concentration,Please recommend a plan for get distracted while studying.,Education,Suggested steps: Study in low-distraction environment.,Improve concentration,"pomodoro, spaced repetition, targets, distractions, focus, timetable"
182,What should I do about Phone overheating?,I am facing phone gets hot while charging. What can I do to solve it permanently? This started after an update.,Technology,Suggested steps: Use original charger and avoid using phone while charging.,Phone overheating,"overheating, charger, battery, fast charging, brightness, apps, temperature"
791,Improve concentration: need guidance Can you explain in simple steps?,Any simple routine for get distracted while studying that works daily? This started after an update.,Education,Suggested steps: Sleep well and take breaks.,Improve concentration,"pomodoro, spaced repetition, targets, distractions, focus, timetable"
555,What can cause Stomach pain?,I have pain and bloating after meals. What are common reasons and safe home-care tips? Any long-term fix would be helpful.,Health,"Suggested steps: Walk lightly after meals; don’t lie down. If it continues, consider expert help.",Stomach pain,"bloating, trigger foods, food diary, probiotics, hydration, gas"
291,UPI failed issue,It happens mostly in the evening. Issue: UPI payment failed but money deducted. Any long-term fix would be helpful.,Finance,"Suggested steps: Check daily limits, network issues, and app updates. If it continues, consider expert help.",UPI failed,"upi, reversal, utr, reference, bank, npci, pending, limit, dispute"
159,Trouble with Bluetooth not working This started after an update.,Please explain possible causes for Bluetooth is not detecting devices and how to troubleshoot. It happens mostly in the evening.,Technology,"Suggested steps: Turn Bluetooth off/on and restart the device. If it continues, consider expert help.",Bluetooth not working,"bluetooth, pairing, drivers, device not found, services, airplane mode"
70,Trouble with WiFi disconnecting It happens mostly in the evening.,Please explain possible causes for laptop keeps dropping internet every few minutes and how to troubleshoot. Any long-term fix would be helpful.,Technology,"Suggested steps: Forget the Wi-Fi network, reconnect, and reset network settings. If it continues, consider expert help.",WiFi disconnecting,"wifi, wireless, network, router, driver, dns, channel, 5ghz, firmware"
518,Advice needed for Cold and cough,It started recently: sore throat and cold cough for several days. Any simple remedies?,Health,Suggested steps: Drink warm fluids and rest; use steam inhalation.,Cold and cough,"cough, sore throat, steam, hydration, fever, salt water, humidifier"
132,Trouble with Storage full,It happens mostly in the evening. Problem: storage is full even after deleting files.,Technology,"Suggested steps: Clear temporary files and app caches; empty recycle bin/trash. If it continues, consider expert help.",Storage full,"storage, cache, temporary, duplicate, cloud, backup, offline, analyzer"
45,internet dropping on my device Can you explain in simple steps?,Please explain possible causes for laptop keeps dropping wireless every few minutes and how to troubleshoot.,Technology,Suggested steps: Update Wi-Fi drivers and restart router/modem.,WiFi disconnecting,"wifi, wireless, network, router, driver, dns, channel, 5ghz, firmware"
71,App crashing on my device I need a quick solution because it's urgent.,Please explain possible causes for app closes suddenly when I open it and how to troubleshoot. This started after an update.,Technology,Suggested steps: Update the app and OS to latest version.,App crashing,"crash, cache, reinstall, update, storage, permissions, bug"
692,Tips for Programming basics I need a quick solution because it's urgent.,Any simple routine for confused about loops and functions in programming that works daily?,Education,Suggested steps: Solve beginner coding questions regularly.,Programming basics,"loops, functions, debugging, practice, mini programs, coding"
356,Need advice on spending plan planning Can you explain in simple steps?,Here is the problem: want to track spending and save more. What is the safest approach to handle it? Any long-term fix would be helpful.,Finance,"Suggested steps: Automate savings first, then budget the rest.",Budget planning,"budget, expenses, savings, tracking, 50/30/20, goal, limits"
445,Morning headache — what should I do? I’m not sure what to do next.,It started recently: wake up with headache and dry mouth. Any simple remedies? I tried basic steps but it didn't work.,Health,"Suggested steps: Reduce stress and check dehydration; see doctor if frequent. If it continues, consider expert help.",Morning headache,"hydration, sleep, stress, caffeine, snoring, apnea, routine"
762,Programming basics: need guidance This started after an update.,My situation: confused about loops and functions in programming. Please share practical steps and resources. Can you explain in simple steps?,Education,Suggested steps: Use debugging/print statements to understand flow.,Programming basics,"loops, functions, debugging, practice, mini programs, coding"
136,Storage full on my device I need a quick solution because it's urgent.,It happens mostly in the evening. Problem: storage is full even after deleting files. It happens mostly in the evening.,Technology,Suggested steps: Remove unused apps and clear WhatsApp/Telegram media.,Storage full,"storage, cache, temporary, duplicate, cloud, backup, offline, analyzer"
83,How to fix Blue screen?,This started after a recent change. Details: PC shows blue screen after update. Any suggestions? It happens mostly in the evening.,Technology,Suggested steps: Boot into safe mode and uninstall the latest update.,Blue screen,"bsod, safe mode, update, driver, chkdsk, restore, stop code"
166,Trouble with Storage full This started after an update.,It happens mostly in the evening. Problem: storage is full even after deleting files.,Technology,Suggested steps: Move photos/videos to cloud or external drive.,Storage full,"storage, cache, temporary, duplicate, cloud, backup, offline, analyzer"
165,How to fix App crashing?,It happens mostly in the evening. Problem: app closes suddenly when I open it. Can you explain in simple steps?,Technology,Suggested steps: Uninstall and reinstall the app; ensure enough storage.,App crashing,"crash, cache, reinstall, update, storage, permissions, bug"
29,Blue screen on my device Any long-term fix would be helpful.,It happens mostly in the evening. Problem: PC shows blue screen after update. I’m not sure what to do next.,Technology,Suggested steps: Run memory diagnostics and disk check (chkdsk).,Blue screen,"bsod, safe mode, update, driver, chkdsk, restore, stop code"
449,What can cause Cold and cough?,Symptoms: sore throat and cough for several days. When should I see a doctor? I tried basic steps but it didn't work.,Health,"Suggested steps: If fever persists or breathing issues, consult a doctor. If it continues, consider expert help.",Cold and cough,"cough, sore throat, steam, hydration, fever, salt water, humidifier"
194,How to fix Phone overheating?,This started after a recent change. Details: phone gets hot while charging. Any suggestions? I’m not sure what to do next.,Technology,"Suggested steps: Remove thick phone case and charge in a cool environment. If it continues, consider expert help.",Phone overheating,"overheating, charger, battery, fast charging, brightness, apps, temperature"
240,What should I do if Credit score happens?,It happens mostly in the evening. Issue: credit score dropped suddenly. I’m not sure what to do next.,Finance,"Suggested steps: Dispute wrong entries with the credit bureau. If it continues, consider expert help.",Credit score,"credit score, report, utilization, bureau, dispute, inquiry, dues"
725,Tips for Exam anxiety,I am struggling because nervous during exams and forget answers. What method works best? Can you explain in simple steps?,Education,Suggested steps: Revise with active recall and sleep well.,Exam anxiety,"mock tests, breathing, active recall, past papers, time management, mentor"
731,Help regarding Programming basics I tried basic steps but it didn't work.,Any simple routine for confused about loops and functions in programming that works daily? Any long-term fix would be helpful.,Education,Suggested steps: Learn one concept at a time and write mini programs.,Programming basics,"loops, functions, debugging, practice, mini programs, coding"
137,wireless disconnecting on my device,This started after a recent change. Details: laptop keeps dropping internet every few minutes. Any suggestions? It happens mostly in the evening.,Technology,Suggested steps: Disable power saving for the Wi-Fi adapter and test another network.,WiFi disconnecting,"wifi, wireless, network, router, driver, dns, channel, 5ghz, firmware"
665,Improve concentration: need guidance Any long-term fix would be helpful.,Please recommend a plan for get distracted while studying. I tried basic steps but it didn't work.,Education,Suggested steps: Sleep well and take breaks.,Improve concentration,"pomodoro, spaced repetition, targets, distractions, focus, timetable"
312,Beginner question: Loan EMI Can you explain in simple steps?,I need a step-by-step strategy for confused between shorter vs longer EMI.,Finance,Suggested steps: Stable income → shorter tenure usually better.,Loan EMI,"emi, tenure, interest, prepay, calculator, payout, loan"
141,What should I do about Phone overheating?,This started after a recent change. Details: phone gets hot while charging. Any suggestions? Any long-term fix would be helpful.,Technology,Suggested steps: Use original charger and avoid using phone while charging.,Phone overheating,"overheating, charger, battery, fast charging, brightness, apps, temperature"
474,Is Morning headache serious? I tried basic steps but it didn't work.,It started recently: wake up with headache and dry mouth. Any simple remedies?,Health,Suggested steps: Hydrate well and improve sleep routine.,Morning headache,"hydration, sleep, stress, caffeine, snoring, apnea, routine"
7,What should I do about Storage full? Can you explain in simple steps?,Please explain possible causes for storage is full even after deleting files and how to troubleshoot. It happens mostly in the evening.,Technology,"Suggested steps: Remove unused apps and clear WhatsApp/Telegram media. If it continues, consider expert help.",Storage full,"storage, cache, temporary, duplicate, cloud, backup, offline, analyzer"
729,Tips for Improve concentration Can you explain in simple steps?,Please recommend a plan for get distracted while studying. This started after an update.,Education,Suggested steps: Sleep well and take breaks.,Improve concentration,"pomodoro, spaced repetition, targets, distractions, focus, timetable"
756,Tips for Programming basics,I am struggling because confused about loops and functions in programming. What method works best?,Education,"Suggested steps: Solve beginner coding questions regularly. If it continues, consider expert help.",Programming basics,"loops, functions, debugging, practice, mini programs, coding"
74,What should I do about Storage full? I need a quick solution because it's urgent.,It happens mostly in the evening. Problem: storage is full even after deleting files.,Technology,Suggested steps: Clear temporary files and app caches; empty recycle bin/trash.,Storage full,"storage, cache, temporary, duplicate, cloud, backup, offline, analyzer"
560,What can cause Morning headache? This started after an update.,Symptoms: wake up with headache and dry mouth. When should I see a doctor? I’m not sure what to do next.,Health,Suggested steps: Reduce stress and check dehydration; see doctor if frequent.,Morning headache,"hydration, sleep, stress, caffeine, snoring, apnea, routine"
300,Beginner question: Salary delay This started after an update.,This started suddenly: salary is delayed and employer not responding. What should I do first? Any long-term fix would be helpful.,Finance,"Suggested steps: Plan emergency fund to handle short delays. If it continues, consider expert help.",Salary delay,"salary, delay, hr, payroll, escalation, policy, records"
146,Phone overheating on my device I need a quick solution because it's urgent.,This started after a recent change. Details: phone gets hot while charging. Any suggestions? Can you explain in simple steps?,Technology,"Suggested steps: Close background apps and reduce screen brightness. If it continues, consider expert help.",Phone overheating,"overheating, charger, battery, fast charging, brightness, apps, temperature"
293,How to manage Salary delay?,It happens mostly in the evening. Issue: salary is delayed and employer not responding.,Finance,"Suggested steps: If repeated issues, seek legal/official labor advice.",Salary delay,"salary, delay, hr, payroll, escalation, policy, records"
235,Need advice on Credit score Any long-term fix would be helpful.,I need a step-by-step strategy for credit score dropped suddenly.,Finance,"Suggested steps: Keep utilization below 30% and pay dues on time. If it continues, consider expert help.",Credit score,"credit score, report, utilization, bureau, dispute, inquiry, dues"
221,Need advice on Salary delay This started after an update.,It happens mostly in the evening. Issue: salary is delayed and employer not responding.,Finance,Suggested steps: Check payroll date policy and ask payroll team.,Salary delay,"salary, delay, hr, payroll, escalation, policy, records"
451,Is Stomach pain serious? I tried basic steps but it didn't work.,I have pain and bloating after meals. What are common reasons and safe home-care tips? It happens mostly in the evening.,Health,Suggested steps: Walk lightly after meals; don’t lie down.,Stomach pain,"bloating, trigger foods, food diary, probiotics, hydration, gas"
381,Budget planning issue,Here is the problem: want to track spending and save more. What is the safest approach to handle it?,Finance,Suggested steps: Cut frequent small expenses and set a goal.,Budget planning,"budget, expenses, savings, tracking, 50/30/20, goal, limits"
133,wireless losing connection on my device,I tried basic steps but it didn't work. Issue: laptop keeps dropping WiFi every few minutes. Any long-term fix would be helpful.,Technology,"Suggested steps: Forget the Wi-Fi network, reconnect, and reset network settings.",WiFi disconnecting,"wifi, wireless, network, router, driver, dns, channel, 5ghz, firmware"
376,Beginner question: putting money in funds This started after an update.,It happens mostly in the evening. Issue: want to start market investing with small amount.,Finance,Suggested steps: Start SIP in index funds; invest monthly.,Investing,"sip, index fund, etf, diversify, compounding, risk, long term"
405,Advice needed for Stomach pain Can you explain in simple steps?,It started recently: pain and bloating after meals. Any simple remedies? Any long-term fix would be helpful.,Health,Suggested steps: Walk lightly after meals; don’t lie down.,Stomach pain,"bloating, trigger foods, food diary, probiotics, hydration, gas"
523,Advice needed for Stomach pain I’m not sure what to do next.,Looking for general guidance for pain and bloating after meals.,Health,Suggested steps: Avoid trigger foods and eat smaller meals.,Stomach pain,"bloating, trigger foods, food diary, probiotics, hydration, gas"
750,Tips for Exam stress Any long-term fix would be helpful.,Please recommend a plan for nervous during exams and forget answers.,Education,"Suggested steps: Break syllabus into small parts; repeat often. If it continues, consider expert help.",Exam anxiety,"mock tests, breathing, active recall, past papers, time management, mentor"
427,Is Cold and cold cough serious?,I have sore throat and throat cough for several days. What are common reasons and safe home-care tips? I need a quick solution because it's urgent.,Health,Suggested steps: Drink warm fluids and rest; use steam inhalation.,Cold and cough,"cough, sore throat, steam, hydration, fever, salt water, humidifier"
42,Trouble with App crashing,I am facing app closes suddenly when I open it. What can I do to solve it permanently?,Technology,"Suggested steps: If issue started after update, reinstall a stable version.",App crashing,"crash, cache, reinstall, update, storage, permissions, bug"
496,Advice needed for Stomach pain,Symptoms: pain and bloating after meals. When should I see a doctor? This started after an update.,Health,Suggested steps: Walk lightly after meals; don’t lie down.,Stomach pain,"bloating, trigger foods, food diary, probiotics, hydration, gas"
109,WiFi dropping on my device I tried basic steps but it didn't work.,I am facing laptop keeps dropping wireless every few minutes. What can I do to solve it permanently? It happens mostly in the evening.,Technology,Suggested steps: Update router firmware and check for ISP outages.,WiFi disconnecting,"wifi, wireless, network, router, driver, dns, channel, 5ghz, firmware"
345,Need advice on Budget planning,This started suddenly: want to track spending and save more. What should I do first? Any long-term fix would be helpful.,Finance,Suggested steps: Make separate accounts for bills and savings.,Budget planning,"budget, expenses, savings, tracking, 50/30/20, goal, limits"
57,Storage full on my device I need a quick solution because it's urgent.,This started after a recent change. Details: storage is full even after deleting files. Any suggestions?,Technology,Suggested steps: Delete offline downloads and old backups.,Storage full,"storage, cache, temporary, duplicate, cloud, backup, offline, analyzer"
260,Need advice on expense tracking planning,This started suddenly: want to track spending and save more. What should I do first?,Finance,Suggested steps: Cut frequent small expenses and set a goal.,Budget planning,"budget, expenses, savings, tracking, 50/30/20, goal, limits"
480,Advice needed for Stomach pain It happens mostly in the evening.,It started recently: pain and bloating after meals. Any simple remedies? Can you explain in simple steps?,Health,Suggested steps: Avoid trigger foods and eat smaller meals.,Stomach pain,"bloating, trigger foods, food diary, probiotics, hydration, gas"
626,Help regarding Improve concentration I tried basic steps but it didn't work.,My situation: get distracted while studying. Please share practical steps and resources. Can you explain in simple steps?,Education,Suggested steps: Use Pomodoro (25/5) and keep phone away.,Improve concentration,"pomodoro, spaced repetition, targets, distractions, focus, timetable"
228,Need advice on Loan EMI Any long-term fix would be helpful.,I need a step-by-step strategy for confused between shorter vs longer EMI.,Finance,Suggested steps: Use EMI calculator to compare total payout.,Loan EMI,"emi, tenure, interest, prepay, calculator, payout, loan"
213,Need advice on UPI failed This started after an update.,Here is the problem: UPI transaction failed but money cut. What is the safest approach to handle it?,Finance,Suggested steps: Contact bank with UTR/reference number for reversal.,UPI failed,"upi, reversal, utr, reference, bank, npci, pending, limit, dispute"
594,Advice needed for Stomach pain I’m not sure what to do next.,Symptoms: pain and bloating after meals. When should I see a doctor?,Health,Suggested steps: Walk lightly after meals; don’t lie down.,Stomach pain,"bloating, trigger foods, food diary, probiotics, hydration, gas"
333,Need advice on Credit score,Any long-term fix would be helpful. Problem: credit score dropped suddenly.,Finance,Suggested steps: Maintain long credit history; don’t close old cards.,Credit score,"credit score, report, utilization, bureau, dispute, inquiry, dues"
25,Trouble with Bluetooth not working,It happens mostly in the evening. Problem: Bluetooth is not detecting devices. I’m not sure what to do next.,Technology,Suggested steps: Turn Bluetooth off/on and restart the device.,Bluetooth not working,"bluetooth, pairing, drivers, device not found, services, airplane mode"
781,Improve concentration: need guidance,Any simple routine for get distracted while studying that works daily?,Education,"Suggested steps: Use spaced repetition and small daily targets. If it continues, consider expert help.",Improve concentration,"pomodoro, spaced repetition, targets, distractions, focus, timetable"
352,How to manage UPI failed?,It happens mostly in the evening. Issue: UPI transaction failed but money cut. I’m not sure what to do next.,Finance,"Suggested steps: Check daily limits, network issues, and app updates.",UPI failed,"upi, reversal, utr, reference, bank, npci, pending, limit, dispute"
357,Beginner question: Budget planning,This started suddenly: want to track spending and save more. What should I do first? I need a quick solution because it's urgent.,Finance,"Suggested steps: Use 50/30/20 rule and track weekly expenses. If it continues, consider expert help.",Budget planning,"budget, expenses, savings, tracking, 50/30/20, goal, limits"
52,Trouble with network disconnecting,This started after a recent change. Details: laptop keeps dropping network every few minutes. Any suggestions? This started after an update.,Technology,"Suggested steps: Update router firmware and check for ISP outages. If it continues, consider expert help.",WiFi disconnecting,"wifi, wireless, network, router, driver, dns, channel, 5ghz, firmware"
332,Credit score issue It happens mostly in the evening.,Here is the problem: credit score dropped suddenly. What is the safest approach to handle it? I need a quick solution because it's urgent.,Finance,Suggested steps: Keep utilization below 30% and pay dues on time.,Credit score,"credit score, report, utilization, bureau, dispute, inquiry, dues"
734,Tips for Exam nervousness Any long-term fix would be helpful.,Please recommend a plan for nervous during exams and forget answers.,Education,"Suggested steps: Revise with active recall and sleep well. If it continues, consider expert help.",Exam anxiety,"mock tests, breathing, active recall, past papers, time management, mentor"
